zona,nivel_instrucción,título,mantiene_hogar,trabajo_semana_pasada,region_planificacion
1,7,3,1,2,1
1,7,3,1,2,1
1,4,NaN,NaN,2,1
1,4,NaN,1,2,1
1,4,NaN,1,2,1
1,4,NaN,1,2,1
1,7,3,1,1,1
1,7,3,1,1,1
1,2,NaN,1,1,1
1,1,NaN,1,1,1
1,8,6,1,1,1
1,2,NaN,NaN,2,1
1,3,NaN,NaN,1,1
1,3,NaN,1,1,1
1,0,NaN,NaN,NaN,1
1,3,NaN,NaN,2,1
1,7,0,1,1,1
1,2,NaN,1,1,1
1,1,NaN,NaN,2,1
1,1,NaN,NaN,2,1
1,7,4,1,1,1
1,0,NaN,1,1,1
1,1,NaN,NaN,2,1
1,3,NaN,1,2,1
1,3,NaN,1,1,1
1,2,NaN,1,1,1
1,4,NaN,1,1,1
1,2,NaN,1,1,1
1,7,3,1,1,1
1,7,3,NaN,2,1
1,4,NaN,1,1,1
1,4,NaN,1,1,1
1,0,NaN,NaN,NaN,1
1,0,NaN,NaN,NaN,1
1,3,NaN,NaN,1,1
1,4,NaN,1,1,1
1,3,NaN,NaN,2,1
1,1,NaN,1,2,1
1,7,0,NaN,1,1
1,4,NaN,NaN,1,1
1,2,NaN,1,1,1
1,2,NaN,NaN,1,1
1,2,NaN,NaN,2,1
1,1,NaN,NaN,2,1
1,7,0,1,1,1
1,1,NaN,1,1,1
1,2,NaN,1,1,1
1,4,NaN,NaN,2,1
1,3,NaN,NaN,1,1
1,4,NaN,NaN,2,1
1,3,NaN,NaN,2,1
1,8,4,1,1,1
1,2,NaN,1,2,1
1,2,NaN,NaN,2,1
1,3,NaN,1,2,1
1,4,NaN,7,2,1
1,8,6,1,2,1
1,3,NaN,NaN,2,1
1,99,NaN,1,1,1
1,6,1,NaN,1,1
1,3,NaN,1,1,1
1,3,NaN,1,1,1
1,2,NaN,1,1,1
1,7,0,NaN,2,1
1,7,3,1,1,1
1,7,3,1,1,1
1,1,NaN,1,2,1
1,0,NaN,1,2,1
1,3,NaN,1,2,1
1,3,NaN,1,2,1
1,2,NaN,NaN,2,1
1,7,0,NaN,1,1
1,7,0,1,1,1
1,7,3,1,1,1
1,7,0,1,1,1
1,8,4,1,1,1
1,7,0,1,1,1
1,3,NaN,1,1,1
1,7,0,NaN,2,1
1,3,NaN,NaN,2,1
1,7,4,1,1,1
1,3,NaN,1,1,1
1,2,NaN,NaN,2,1
1,7,3,1,2,1
1,2,NaN,1,2,1
1,7,0,NaN,2,1
1,3,NaN,NaN,2,1
1,4,NaN,1,1,1
1,7,0,NaN,2,1
1,7,4,1,2,1
1,7,4,1,1,1
1,1,NaN,NaN,1,1
1,7,0,1,2,1
1,0,NaN,NaN,NaN,1
1,3,NaN,NaN,1,1
1,0,NaN,1,2,1
1,7,9,1,1,1
1,7,4,1,1,1
1,7,2,1,1,1
1,2,NaN,NaN,2,1
1,2,NaN,1,2,1
1,1,NaN,1,2,1
1,1,NaN,1,2,1
1,2,NaN,1,1,1
1,2,NaN,1,1,1
1,2,NaN,1,1,1
1,3,NaN,NaN,2,1
1,7,4,1,1,1
1,4,NaN,1,1,1
1,8,6,1,1,1
1,3,NaN,NaN,2,1
1,2,NaN,NaN,2,1
1,7,4,1,1,1
1,3,NaN,NaN,2,1
1,4,NaN,1,1,1
1,7,0,1,1,1
1,7,0,NaN,1,1
1,3,NaN,7,2,1
1,2,NaN,NaN,2,1
1,3,NaN,NaN,2,1
1,2,NaN,1,2,1
1,2,NaN,1,2,1
1,8,4,1,1,1
1,7,0,NaN,2,1
1,4,NaN,1,2,1
1,4,NaN,1,1,1
1,3,NaN,1,1,1
1,1,NaN,1,2,1
1,3,NaN,1,1,1
1,2,NaN,1,1,1
1,1,NaN,1,2,1
1,2,NaN,1,1,1
1,6,1,1,2,1
1,2,NaN,NaN,2,1
1,4,NaN,1,1,1
1,4,NaN,1,2,1
1,7,4,1,1,1
1,1,NaN,NaN,1,1
1,3,NaN,NaN,2,1
1,2,NaN,NaN,2,1
1,7,0,1,1,1
1,7,3,1,1,1
1,6,1,NaN,1,1
1,6,1,1,1,1
1,0,NaN,NaN,2,1
1,3,NaN,1,1,1
1,8,6,NaN,2,1
1,7,0,NaN,1,1
1,1,NaN,1,2,1
1,3,NaN,1,1,1
1,1,NaN,1,2,1
1,3,NaN,NaN,2,1
1,3,NaN,1,1,1
1,2,NaN,1,1,1
1,2,NaN,NaN,2,1
1,4,NaN,NaN,2,1
1,3,NaN,NaN,2,1
1,4,NaN,1,2,1
1,1,NaN,1,2,1
1,4,NaN,1,1,1
1,7,4,1,2,1
1,3,NaN,1,2,1
1,4,NaN,1,1,1
1,7,4,1,1,1
1,1,NaN,1,2,1
1,4,NaN,NaN,2,1
1,7,0,1,2,1
1,8,5,1,2,1
1,7,4,1,2,1
1,4,NaN,1,2,1
1,7,4,1,1,1
1,7,2,1,1,1
1,7,0,NaN,2,1
1,7,0,NaN,1,1
1,3,NaN,NaN,2,1
1,7,4,1,2,1
1,2,NaN,NaN,2,1
1,99,NaN,1,2,1
1,3,NaN,7,2,1
1,4,NaN,NaN,2,1
1,4,NaN,1,1,1
1,3,NaN,1,1,1
1,1,NaN,NaN,2,1
1,2,NaN,1,1,1
1,2,NaN,NaN,2,1
1,2,NaN,1,1,1
1,1,NaN,NaN,2,1
1,2,NaN,1,2,1
1,7,0,1,1,1
1,2,NaN,NaN,1,1
1,2,NaN,NaN,2,1
1,3,NaN,1,1,1
1,1,NaN,NaN,2,1
1,3,NaN,1,1,1
1,4,NaN,1,1,1
1,4,NaN,1,1,1
1,3,NaN,NaN,2,1
1,3,NaN,1,2,1
1,2,NaN,1,1,1
1,3,NaN,NaN,2,1
1,3,NaN,NaN,2,1
1,2,NaN,NaN,2,1
1,2,NaN,NaN,2,1
1,2,NaN,1,1,1
1,4,NaN,1,1,1
1,3,NaN,NaN,2,1
1,3,NaN,NaN,2,1
1,0,NaN,NaN,NaN,1
1,0,NaN,1,1,1
1,0,NaN,1,1,1
1,3,NaN,NaN,2,1
1,4,NaN,1,1,1
1,7,0,1,1,1
1,8,6,1,1,1
1,3,NaN,NaN,2,1
1,7,0,1,2,1
1,7,4,1,1,1
1,7,2,1,1,1
1,7,3,1,1,1
1,7,3,1,1,1
1,4,NaN,1,1,1
1,2,NaN,1,2,1
1,7,4,1,1,1
1,8,6,1,1,1
1,8,5,1,2,1
1,4,NaN,1,1,1
1,4,NaN,NaN,2,1
1,3,NaN,1,2,1
1,7,4,1,1,1
1,7,4,1,1,1
1,5,0,NaN,2,1
1,1,NaN,1,2,1
1,1,NaN,1,2,1
1,0,NaN,NaN,NaN,1
1,2,NaN,1,2,1
1,7,3,7,2,1
1,7,0,1,1,1
1,1,NaN,1,1,1
1,7,3,1,2,1
1,7,0,1,1,1
1,0,NaN,NaN,NaN,1
1,4,NaN,NaN,2,1
1,4,NaN,1,1,1
1,7,4,1,1,1
1,7,4,NaN,1,1
1,7,4,1,1,1
1,3,NaN,1,2,1
1,1,NaN,NaN,2,1
1,7,3,NaN,2,1
1,4,NaN,NaN,1,1
1,1,NaN,NaN,NaN,1
1,8,6,1,1,1
1,2,NaN,1,1,1
1,4,NaN,1,2,1
1,1,NaN,1,1,1
1,1,NaN,1,1,1
1,2,NaN,NaN,2,1
1,7,3,1,1,1
1,2,NaN,1,1,1
1,2,NaN,1,1,1
1,3,NaN,NaN,1,1
1,1,NaN,1,1,1
1,2,NaN,NaN,1,1
1,3,NaN,1,1,1
1,1,NaN,1,2,1
1,4,NaN,NaN,2,1
1,3,NaN,1,1,1
1,1,NaN,1,2,1
1,0,NaN,1,2,1
1,2,NaN,1,1,1
1,1,NaN,1,2,1
1,3,NaN,1,2,1
1,7,4,1,1,1
1,0,NaN,NaN,NaN,1
1,0,NaN,NaN,NaN,1
1,2,NaN,1,2,1
1,2,NaN,1,1,1
1,3,NaN,NaN,2,1
1,2,NaN,1,2,1
1,2,NaN,NaN,2,1
1,2,NaN,1,2,1
1,3,NaN,1,1,1
1,3,NaN,NaN,2,1
1,1,NaN,1,1,1
1,3,NaN,1,1,1
1,4,NaN,1,1,1
1,8,6,1,2,1
1,5,0,NaN,2,1
1,3,NaN,1,1,1
1,3,NaN,NaN,2,1
1,0,NaN,NaN,NaN,1
1,0,NaN,1,1,1
1,1,NaN,1,1,1
1,1,NaN,NaN,2,1
1,0,NaN,NaN,NaN,1
1,0,NaN,1,2,1
1,1,NaN,1,1,1
1,2,NaN,NaN,2,1
1,4,NaN,1,1,1
1,2,NaN,NaN,2,1
1,3,NaN,NaN,2,1
1,1,NaN,1,1,1
1,3,NaN,1,2,1
1,1,NaN,1,1,1
1,3,NaN,1,1,1
1,3,NaN,1,1,1
1,3,NaN,1,2,1
1,2,NaN,1,1,1
1,7,3,1,2,1
1,7,3,1,2,1
1,2,NaN,NaN,2,1
1,2,NaN,NaN,2,1
1,2,NaN,NaN,2,1
1,0,NaN,NaN,NaN,1
1,3,NaN,1,1,1
1,7,0,NaN,1,1
1,6,1,1,1,1
1,3,NaN,1,1,1
1,2,NaN,1,1,1
1,1,NaN,1,1,1
1,2,NaN,1,1,1
1,3,NaN,1,1,1
1,4,NaN,NaN,2,1
1,2,NaN,NaN,2,1
1,3,NaN,1,1,1
1,1,NaN,NaN,1,1
1,3,NaN,1,1,1
1,1,NaN,1,1,1
1,2,NaN,NaN,2,1
1,1,NaN,NaN,2,1
1,1,NaN,NaN,NaN,1
1,3,NaN,1,1,1
1,2,NaN,NaN,2,1
1,2,NaN,1,1,1
1,2,NaN,NaN,2,1
1,1,NaN,1,1,1
1,1,NaN,1,1,1
1,2,NaN,1,1,1
1,0,NaN,1,2,1
1,1,NaN,1,1,1
1,3,NaN,1,1,1
1,3,NaN,NaN,1,1
1,2,NaN,1,1,1
1,2,NaN,1,1,1
1,7,4,1,1,1
1,4,NaN,1,2,1
1,7,4,1,2,1
1,6,1,NaN,2,1
1,7,0,1,1,1
1,8,6,1,2,1
1,7,4,1,1,1
1,8,6,1,1,1
1,7,3,1,1,1
1,4,NaN,1,1,1
1,4,NaN,1,1,1
1,7,3,1,2,1
1,8,4,1,2,1
1,7,4,NaN,1,1
1,7,4,1,1,1
1,7,3,1,1,1
1,0,NaN,NaN,NaN,1
1,0,NaN,NaN,NaN,1
1,7,0,1,1,1
1,7,0,1,2,1
1,8,4,1,1,1
1,7,2,NaN,1,1
1,7,3,1,2,1
1,7,0,1,1,1
1,7,2,1,1,1
1,4,NaN,1,1,1
1,1,NaN,1,1,1
1,0,NaN,1,1,1
1,2,NaN,1,1,1
1,3,NaN,1,1,1
1,7,0,1,1,1
1,4,NaN,1,1,1
1,4,NaN,NaN,2,1
1,2,NaN,1,1,1
1,4,NaN,1,1,1
1,0,NaN,1,1,1
1,2,NaN,1,2,1
1,3,NaN,1,2,1
1,7,0,1,1,1
1,7,1,NaN,1,1
1,2,NaN,1,2,1
1,2,NaN,NaN,2,1
1,3,NaN,NaN,2,1
1,3,NaN,1,1,1
1,2,NaN,1,2,1
1,4,NaN,1,2,1
1,1,NaN,NaN,2,1
1,2,NaN,1,1,1
1,6,1,NaN,2,1
1,8,6,1,2,1
1,3,NaN,1,1,1
1,4,NaN,NaN,2,1
1,4,NaN,1,2,1
1,7,4,1,1,1
1,4,NaN,NaN,2,1
1,7,4,NaN,1,1
1,7,0,1,2,1
1,3,NaN,NaN,2,1
1,6,1,1,1,1
1,2,NaN,7,2,1
1,3,NaN,1,1,1
1,3,NaN,1,1,1
1,6,1,1,1,1
1,7,4,1,1,1
1,2,NaN,NaN,2,1
1,2,NaN,1,2,1
1,4,NaN,NaN,2,1
1,7,3,1,2,1
1,7,3,1,1,1
1,7,3,1,2,1
1,4,NaN,1,2,1
1,7,0,1,1,1
1,8,6,1,1,1
1,4,NaN,1,1,1
1,3,NaN,NaN,2,1
1,1,NaN,NaN,NaN,1
1,3,NaN,1,1,1
1,3,NaN,1,1,1
1,4,NaN,1,1,1
1,4,NaN,1,1,1
1,2,NaN,1,2,1
1,2,NaN,NaN,2,1
1,2,NaN,1,1,1
1,0,NaN,NaN,2,1
1,3,NaN,1,1,1
1,7,0,1,1,1
1,4,NaN,1,1,1
1,3,NaN,NaN,2,1
1,2,NaN,1,1,1
1,3,NaN,NaN,2,1
1,2,NaN,1,2,1
1,2,NaN,NaN,2,1
1,0,NaN,NaN,2,1
1,4,NaN,1,1,1
1,2,NaN,NaN,2,1
1,0,NaN,NaN,NaN,1
1,3,NaN,NaN,2,1
1,0,NaN,NaN,NaN,1
1,3,NaN,1,2,1
1,1,NaN,NaN,2,1
1,1,NaN,1,2,1
1,4,NaN,1,2,1
1,4,NaN,1,1,1
1,2,NaN,1,1,1
1,3,NaN,NaN,2,1
1,3,NaN,NaN,2,1
1,3,NaN,NaN,2,1
1,7,4,NaN,1,1
1,6,1,1,1,1
1,1,NaN,NaN,2,1
1,2,NaN,1,1,1
1,3,NaN,1,2,1
1,2,NaN,1,1,1
1,4,NaN,1,1,1
1,1,NaN,1,2,1
1,2,NaN,NaN,2,1
1,4,NaN,1,1,1
1,0,NaN,1,2,1
1,3,NaN,NaN,2,1
1,3,NaN,1,2,1
1,1,NaN,1,2,1
1,3,NaN,NaN,2,1
1,7,1,NaN,1,1
1,1,NaN,NaN,NaN,1
1,1,NaN,NaN,NaN,1
1,2,NaN,1,1,1
1,2,NaN,1,2,1
1,7,4,1,2,1
1,1,NaN,1,2,1
1,2,NaN,1,1,1
1,2,NaN,1,1,1
1,4,NaN,1,1,1
1,3,NaN,1,2,1
1,1,NaN,1,2,1
1,7,4,1,1,1
1,3,NaN,1,2,1
1,2,NaN,1,1,1
1,1,NaN,1,2,1
1,4,NaN,1,2,1
1,3,NaN,1,1,1
1,1,NaN,1,2,1
1,2,NaN,1,2,1
1,7,0,1,1,1
1,2,NaN,NaN,2,1
1,3,NaN,NaN,1,1
1,3,NaN,NaN,1,1
1,4,NaN,1,1,1
1,3,NaN,NaN,2,1
1,1,NaN,1,2,1
1,2,NaN,1,1,1
1,3,NaN,1,2,1
1,7,2,1,1,1
1,1,NaN,1,2,1
1,1,NaN,NaN,2,1
1,1,NaN,1,2,1
1,3,NaN,1,1,1
1,1,NaN,NaN,1,1
1,2,NaN,1,1,1
1,2,NaN,NaN,2,1
1,7,3,1,1,1
1,7,3,1,1,1
1,7,4,1,1,1
1,3,NaN,1,2,1
1,2,NaN,1,2,1
1,0,NaN,1,2,1
1,1,NaN,NaN,NaN,1
1,0,NaN,NaN,NaN,1
1,1,NaN,NaN,2,1
1,1,NaN,NaN,NaN,1
1,0,NaN,NaN,NaN,1
1,0,NaN,1,2,1
1,2,NaN,NaN,2,1
1,1,NaN,1,2,1
1,3,NaN,1,2,1
1,2,NaN,1,1,1
1,3,NaN,NaN,2,1
1,1,NaN,NaN,NaN,1
1,1,NaN,NaN,NaN,1
1,2,NaN,1,1,1
1,2,NaN,NaN,2,1
1,4,NaN,NaN,2,1
1,2,NaN,1,1,1
1,3,NaN,1,2,1
1,2,NaN,1,2,1
1,2,NaN,NaN,2,1
1,0,NaN,NaN,2,1
1,2,NaN,1,2,1
1,3,NaN,1,1,1
1,2,NaN,1,2,1
1,1,NaN,NaN,2,1
1,0,NaN,1,2,1
1,3,NaN,1,1,1
1,4,NaN,1,1,1
1,1,NaN,NaN,2,1
1,2,NaN,1,2,1
1,7,2,NaN,2,1
1,2,NaN,NaN,1,1
1,4,NaN,1,1,1
1,3,NaN,1,1,1
1,2,NaN,1,1,1
1,3,NaN,NaN,1,1
1,3,NaN,NaN,1,1
1,4,NaN,1,1,1
1,7,4,1,1,1
1,1,NaN,NaN,2,1
1,3,NaN,NaN,2,1
1,4,NaN,NaN,2,1
1,3,NaN,1,1,1
1,2,NaN,NaN,2,1
1,0,NaN,NaN,2,1
1,2,NaN,1,1,1
1,3,NaN,1,1,1
1,7,3,NaN,2,1
1,7,0,1,1,1
1,0,NaN,NaN,NaN,1
1,3,NaN,7,1,1
1,7,4,NaN,1,1
1,2,NaN,NaN,2,1
1,3,NaN,1,1,1
1,3,NaN,NaN,2,1
1,3,NaN,NaN,2,1
1,3,NaN,1,1,1
1,3,NaN,1,1,1
1,4,NaN,NaN,2,1
1,7,1,NaN,1,1
1,1,NaN,1,1,1
1,2,NaN,NaN,2,1
1,2,NaN,NaN,2,1
1,3,NaN,NaN,1,1
1,1,NaN,NaN,NaN,1
1,2,NaN,1,1,1
1,3,NaN,1,1,1
1,7,4,1,1,1
1,7,1,NaN,2,1
1,2,NaN,1,1,1
1,4,NaN,1,1,1
1,4,NaN,1,2,1
1,2,NaN,1,1,1
1,3,NaN,1,1,1
1,7,4,1,1,1
1,3,NaN,NaN,2,1
1,2,NaN,1,2,1
1,4,NaN,1,2,1
1,3,NaN,NaN,2,1
1,2,NaN,1,1,1
1,1,NaN,NaN,2,1
1,7,0,1,1,1
1,4,NaN,NaN,2,1
1,3,NaN,1,1,1
1,1,NaN,1,2,1
1,1,NaN,NaN,2,1
1,3,NaN,1,1,1
1,2,NaN,1,2,1
1,3,NaN,NaN,2,1
1,4,NaN,1,1,1
1,7,0,1,1,1
1,3,NaN,1,1,1
1,3,NaN,1,2,1
1,3,NaN,NaN,2,1
1,2,NaN,1,1,1
1,3,NaN,NaN,1,1
1,3,NaN,NaN,1,1
1,4,NaN,NaN,1,1
1,2,NaN,1,1,1
1,3,NaN,1,1,1
1,4,NaN,1,2,1
1,2,NaN,1,1,1
1,2,NaN,NaN,2,1
1,3,NaN,1,1,1
1,2,NaN,1,1,1
1,3,NaN,NaN,2,1
1,1,NaN,1,2,1
1,2,NaN,1,2,1
1,7,4,1,1,1
1,3,NaN,NaN,2,1
1,2,NaN,1,1,1
1,2,NaN,NaN,1,1
1,7,4,1,1,1
1,8,6,1,2,1
1,4,NaN,NaN,2,1
1,7,4,1,2,1
1,7,4,1,1,1
1,7,3,NaN,1,1
1,7,0,NaN,2,1
1,2,NaN,NaN,2,1
1,7,2,1,1,1
1,7,2,1,1,1
1,3,NaN,NaN,2,1
1,3,NaN,1,1,1
1,3,NaN,1,2,1
1,4,NaN,NaN,2,1
1,3,NaN,NaN,2,1
1,2,NaN,NaN,2,1
1,1,NaN,1,2,1
1,1,NaN,1,2,1
1,1,NaN,1,2,1
1,1,NaN,NaN,1,1
1,1,NaN,1,2,1
1,2,NaN,NaN,2,1
1,2,NaN,1,2,1
1,2,NaN,1,2,1
1,1,NaN,NaN,2,1
1,1,NaN,1,2,1
1,1,NaN,1,2,1
1,7,4,NaN,2,1
1,7,0,NaN,2,1
1,2,NaN,NaN,2,1
1,3,NaN,1,1,1
1,3,NaN,NaN,2,1
1,1,NaN,1,2,1
1,2,NaN,NaN,1,1
1,7,3,1,1,1
1,2,NaN,NaN,2,1
1,3,NaN,1,1,1
1,2,NaN,NaN,2,1
1,1,NaN,NaN,2,1
1,7,0,1,2,1
1,2,NaN,1,1,1
1,7,0,1,1,1
1,7,4,1,1,1
1,7,3,1,1,1
1,7,4,1,1,1
1,4,NaN,1,1,1
1,3,NaN,1,2,1
1,2,NaN,1,2,1
1,7,4,1,1,1
1,1,NaN,NaN,NaN,1
1,8,6,1,1,1
1,4,NaN,1,1,1
1,8,6,1,1,1
1,8,6,1,1,1
1,7,4,1,2,1
1,3,NaN,NaN,2,1
1,8,6,1,1,1
1,7,4,1,2,1
1,8,6,1,1,1
1,7,3,NaN,2,1
1,7,3,1,2,1
1,8,5,1,1,1
1,8,6,1,2,1
1,7,4,1,1,1
1,8,6,NaN,1,1
1,4,NaN,NaN,1,1
1,2,NaN,1,2,1
1,1,NaN,1,1,1
1,7,4,NaN,2,1
1,7,3,1,2,1
1,7,4,NaN,2,1
1,7,4,1,1,1
1,3,NaN,1,1,1
1,8,6,1,2,1
1,8,6,NaN,2,1
1,8,6,1,1,1
1,2,NaN,1,2,1
1,4,NaN,1,1,1
1,7,3,NaN,1,1
1,7,4,1,2,1
1,4,NaN,NaN,2,1
1,4,NaN,1,1,1
1,6,1,1,1,1
1,8,6,1,1,1
1,4,NaN,NaN,2,1
1,7,0,NaN,2,1
1,3,NaN,NaN,2,1
1,3,NaN,1,2,1
1,7,0,1,1,1
1,0,NaN,NaN,NaN,1
1,7,3,1,1,1
1,1,NaN,NaN,NaN,1
1,7,3,1,2,1
1,7,3,1,1,1
1,8,6,1,1,1
1,7,3,1,1,1
1,3,NaN,NaN,2,1
1,3,NaN,NaN,2,1
1,8,6,1,1,1
1,7,4,1,2,1
1,2,NaN,NaN,2,1
1,4,NaN,1,1,1
1,7,0,1,1,1
1,2,NaN,NaN,2,1
1,2,NaN,1,2,1
1,7,3,1,1,1
1,3,NaN,NaN,2,1
1,7,0,1,1,1
1,7,0,1,1,1
1,7,3,1,1,1
1,4,NaN,1,2,1
1,1,NaN,NaN,2,1
1,2,NaN,NaN,2,1
1,5,0,NaN,1,1
1,7,0,1,1,1
1,2,NaN,1,1,1
1,0,NaN,1,2,1
1,2,NaN,7,2,1
1,1,NaN,1,2,1
1,1,NaN,1,2,1
1,2,NaN,1,2,1
1,2,NaN,1,2,1
1,0,NaN,1,2,1
1,2,NaN,NaN,2,1
1,2,NaN,NaN,1,1
1,2,NaN,NaN,2,1
1,2,NaN,1,2,1
1,7,0,1,1,1
1,3,NaN,NaN,2,1
1,3,NaN,NaN,2,1
1,3,NaN,1,2,1
1,7,2,1,2,1
1,7,4,1,2,1
1,4,NaN,1,1,1
1,1,NaN,NaN,NaN,1
1,1,NaN,NaN,NaN,1
1,7,3,1,1,1
1,7,0,NaN,2,1
1,0,NaN,NaN,NaN,1
1,2,NaN,NaN,2,1
1,2,NaN,NaN,2,1
1,7,3,1,2,1
1,2,NaN,1,1,1
1,7,0,1,1,1
1,2,NaN,NaN,2,1
1,3,NaN,1,1,1
1,7,4,1,1,1
1,3,NaN,1,1,1
1,4,NaN,1,1,1
1,7,4,1,1,1
1,4,NaN,1,1,1
1,3,NaN,1,1,1
1,3,NaN,1,2,1
1,7,0,1,1,1
1,7,3,1,1,1
1,6,1,NaN,2,1
1,3,NaN,NaN,2,1
1,4,NaN,NaN,2,1
1,3,NaN,NaN,2,1
1,2,NaN,1,1,1
1,3,NaN,NaN,2,1
1,3,NaN,NaN,2,1
1,2,NaN,1,1,1
1,2,NaN,1,1,1
1,3,NaN,1,1,1
1,4,NaN,NaN,2,1
1,2,NaN,NaN,2,1
1,3,NaN,1,1,1
1,3,NaN,1,1,1
1,3,NaN,NaN,2,1
1,2,NaN,NaN,2,1
1,1,NaN,NaN,NaN,1
1,2,NaN,NaN,2,1
1,2,NaN,1,1,1
1,2,NaN,1,2,1
1,7,0,1,1,1
1,7,4,1,1,1
1,1,NaN,NaN,NaN,1
1,0,NaN,NaN,NaN,1
1,3,NaN,1,2,1
1,2,NaN,1,1,1
1,2,NaN,NaN,1,1
1,4,NaN,NaN,2,1
1,2,NaN,NaN,2,1
1,1,NaN,1,2,1
1,7,4,1,1,1
1,2,NaN,NaN,2,1
1,1,NaN,1,1,1
1,3,NaN,NaN,2,1
1,1,NaN,NaN,NaN,1
1,2,NaN,NaN,2,1
1,6,1,1,1,1
1,4,NaN,1,1,1
1,2,NaN,1,2,1
1,0,NaN,1,2,1
1,2,NaN,NaN,2,1
1,5,0,NaN,2,1
1,4,NaN,NaN,1,1
1,1,NaN,1,2,1
1,2,NaN,1,1,1
1,3,NaN,1,1,1
1,4,NaN,NaN,2,1
1,1,NaN,1,2,1
1,4,NaN,1,1,1
1,2,NaN,1,1,1
1,3,NaN,1,1,1
1,7,0,1,1,1
1,2,NaN,1,1,1
1,2,NaN,1,2,1
1,2,NaN,NaN,2,1
1,2,NaN,1,1,1
1,2,NaN,1,2,1
1,1,NaN,1,2,1
1,1,NaN,NaN,2,1
1,3,NaN,NaN,2,1
1,1,NaN,1,2,1
1,2,NaN,NaN,1,1
1,0,NaN,NaN,NaN,1
1,2,NaN,NaN,1,1
1,1,NaN,NaN,2,1
1,1,NaN,1,2,1
1,1,NaN,1,2,1
1,2,NaN,1,1,1
1,3,NaN,NaN,1,1
1,2,NaN,NaN,2,1
1,4,NaN,NaN,1,1
1,4,NaN,NaN,1,1
1,4,NaN,NaN,2,1
1,4,NaN,1,1,1
1,1,NaN,1,2,1
1,4,NaN,1,1,1
1,2,NaN,1,2,1
1,2,NaN,1,1,1
1,3,NaN,1,1,1
1,3,NaN,1,1,1
1,1,NaN,1,2,1
1,3,NaN,1,2,1
1,7,0,1,1,1
1,2,NaN,NaN,2,1
1,1,NaN,NaN,NaN,1
1,1,NaN,1,2,1
1,2,NaN,NaN,2,1
1,7,0,1,2,1
1,3,NaN,1,2,1
1,2,NaN,1,1,1
1,2,NaN,1,1,1
1,2,NaN,NaN,2,1
1,2,NaN,1,2,1
1,7,0,1,1,1
1,7,0,NaN,1,1
1,2,NaN,1,1,1
1,2,NaN,1,2,1
1,2,NaN,NaN,2,1
1,2,NaN,1,1,1
1,2,NaN,1,1,1
1,4,NaN,NaN,2,1
1,7,0,1,1,1
1,7,0,NaN,2,1
1,3,NaN,1,1,1
1,0,NaN,1,2,1
1,3,NaN,1,1,1
1,5,0,NaN,2,1
1,3,NaN,NaN,2,1
1,0,NaN,NaN,NaN,1
1,2,NaN,NaN,2,1
1,4,NaN,NaN,2,1
1,6,1,1,1,1
1,3,NaN,1,2,1
1,0,NaN,NaN,NaN,1
1,1,NaN,1,2,1
1,2,NaN,NaN,2,1
1,2,NaN,1,1,1
1,2,NaN,NaN,1,1
1,3,NaN,NaN,2,1
1,2,NaN,1,1,1
1,2,NaN,NaN,2,1
1,2,NaN,1,1,1
1,2,NaN,NaN,1,1
1,1,NaN,1,2,1
1,2,NaN,NaN,2,1
1,3,NaN,1,1,1
1,2,NaN,NaN,2,1
1,3,NaN,NaN,1,1
1,2,NaN,NaN,2,1
1,3,NaN,1,1,1
1,7,4,1,2,1
1,3,NaN,1,1,1
1,2,NaN,NaN,1,1
1,2,NaN,1,2,1
1,4,NaN,NaN,2,1
1,6,1,NaN,1,1
1,6,0,NaN,1,1
1,3,NaN,NaN,1,1
1,3,NaN,1,1,1
1,2,NaN,NaN,2,1
1,7,0,1,1,1
1,7,0,1,2,1
1,3,NaN,NaN,2,1
1,7,2,1,1,1
1,4,NaN,NaN,2,1
1,4,NaN,1,1,1
1,1,NaN,NaN,NaN,1
1,7,3,1,2,1
1,2,NaN,NaN,2,1
1,4,NaN,1,1,1
1,1,NaN,1,1,1
1,1,NaN,NaN,NaN,1
1,2,NaN,1,1,1
1,1,NaN,NaN,2,1
1,0,NaN,NaN,NaN,1
1,2,NaN,NaN,2,1
1,1,NaN,1,2,1
1,2,NaN,1,1,1
1,2,NaN,NaN,2,1
1,3,NaN,1,1,1
1,5,0,1,1,1
1,4,NaN,NaN,2,1
1,2,NaN,1,1,1
1,4,NaN,NaN,2,1
1,1,NaN,NaN,1,1
1,1,NaN,1,1,1
1,3,NaN,NaN,2,1
1,1,NaN,1,2,1
1,2,NaN,NaN,2,1
1,2,NaN,1,1,1
1,3,NaN,1,1,1
1,2,NaN,NaN,2,1
1,7,3,1,1,1
1,8,6,1,2,1
1,2,NaN,1,1,1
1,2,NaN,1,2,1
1,3,NaN,NaN,2,1
1,1,NaN,1,1,1
1,4,NaN,NaN,2,1
1,2,NaN,1,1,1
1,0,NaN,NaN,NaN,1
1,7,0,1,1,1
1,7,0,NaN,2,1
1,3,NaN,1,1,1
1,3,NaN,NaN,1,1
1,4,NaN,1,2,1
1,3,NaN,NaN,2,1
1,3,NaN,1,1,1
1,2,NaN,1,2,1
1,0,NaN,NaN,2,1
1,4,NaN,1,1,1
1,4,NaN,1,2,1
1,1,NaN,1,2,1
1,4,NaN,1,1,1
1,3,NaN,NaN,2,1
1,7,3,1,1,1
1,4,NaN,NaN,2,1
